University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Oakton Community College,"1600 E Golf Rd Des Plaines, IL 60016",1600 E Golf Rd,,Des Plaines,IL,60016,,42.05469,-87.8854,160,Midwest,Illinois
Oberlin College,"39 W. College St. Oberlin, OH 44074",39 W. College St.,,Oberlin,OH,44074,,41.29146,-82.21862,161,Midwest,Ohio
Occidental College,"1600 Campus Rd Los Angeles, CA 90041",1600 Campus Rd,,Los Angeles,CA,90041,,34.12626,-118.21412,162,West,California
Oglethorpe University,"4484 Peachtree Rd NE Atlanta, GA 30319",4484 Peachtree Rd NE,,Atlanta,GA,30319,,33.87501,-84.33399,163,South,Georgia
Ohio State University,"190 N. Oval Mall Columbus, OH 43210",190 N. Oval Mall,,Columbus,OH,43210,,40.0006,-83.01342,164,Midwest,Ohio
Ohio University,"1 Ohio University Drive Athens, OH 45701",1 Ohio University Drive,,Athens,OH,45701,,39.325715,-82.099187,165,Midwest,Ohio
Oklahoma City University,"2501 N Blackwelder Ave Oklahoma City, OK 73106",2501 N Blackwelder Ave,,Oklahoma City,OK,73106,,35.49433,-97.53891,548,South,Oklahoma
Oklahoma State University,"219 Student Unio Stillwater, OK 74078",219 Student Unio,,Stillwater,OK,74078,,36.12297,-97.07558,634,South,Oklahoma
Old Dominion University,"5115 Hampton Blvd Norfolk, VA 23529",5115 Hampton Blvd,,Norfolk,VA,23529,,36.88898,-76.30347,166,South,Virginia
Olympic College,"1600 Chester Ave Bremerton, WA 98337",1600 Chester Ave,,Bremerton,WA,98337,,47.57661,-122.63427,489,West,Washington
Orange Coast College,"2701 Fairview Road Costa Mesa, CA 92626",2701 Fairview Road,,Costa Mesa,CA,92626,,33.67194,-117.91183,167,West,California
Oregon State University,"104 Kerr Admin Building Corvallis, OR 97331",104 Kerr Admin Building,,Corvallis,OR,97331,,44.564695,-123.275486,168,West,Oregon
Pace University,"1 Pace Plaza New York, NY 10038",1 Pace Plaza,,New York,NY,10038,,40.71167,-74.00542,169,Northeast,New York
Pace University - Pleasantville,"861 Bedford Rd Pleasantville, NY 10570",861 Bedford Rd,,Pleasantville,NY,10570,,41.12463,-73.80672,170,Northeast,New York
Pasadena City College,"1570 E Colorado Blvd Pasadena, CA 91106",1570 E Colorado Blvd,,Pasadena,CA,91106,,34.14393,-118.11916,539,West,California
Passaic County Community College,"1 College Blvd, Paterson, NJ 07505","1 College Blvd,",,Paterson,NJ,07505,,40.91677,-74.17912,525,Northeast,New Jersey
Pennsylvania State University,"Old Main State College, PA 16801",Old Main,,State College,PA,16801,,40.796026,-77.864559,171,Northeast,Pennsylvania
"Pennsylvania State University, Altoona College","3000 Ivyside Park Altoona, PA 16601",3000 Ivyside Park,,Altoona,PA,16601,,40.538801,-78.409807,452,Northeast,Pennsylvania
"Pennsylvania State University, Harrisburg","777 W Harrisburg Pike Middletown, PA 17057",777 W Harrisburg Pike,,Middletown,PA,17057,,40.197131,-76.744347,491,Northeast,Pennsylvania
"Pittsburg State University, Kansas","1701 S Broadway St Pittsburg, KS 66762",1701 S Broadway St,,Pittsburg,KS,66762,,37.39144,-94.70484,635,Northeast,Pennsylvania
Point Park University,"201 Wood St. Pittsburgh, PA 15222",201 Wood St.,,Pittsburgh,PA,15222,,40.4385,-80.00128,513,Northeast,Pennsylvania
Portland Community College Cascade,"705 N. Killingsworth St. Portland, OR 97217",705 N. Killingsworth St.,,Portland,OR,97217,,45.56283,-122.67466,172,West,Oregon
Portland State University,"1800 Southwest 6th Avenue Portland, OR 97205",1800 Southwest 6th Avenue,,Portland,OR,97205,,45.51162,-122.68217,173,West,Oregon
Pratt Institute,"200 Willoughby Ave Brooklyn, NY 11205",200 Willoughby Ave,,Brooklyn,NY,11205,,40.69191,-73.96396,769,Northeast,New York
Prescott College,"220 Grove Avenue Prescott, AZ 86301",220 Grove Avenue,,Prescott,AZ,86301,,34.54481,-112.47648,591,West,Arizona
Princeton University,"110 Morrison Hall Princeton, NJ 8544",110 Morrison Hall,,Princeton,NJ,8544,,40.357298,-74.667223,174,Northeast,New Jersey
Principia College,"1 Maybeck Place Elsah, IL 62028",1 Maybeck Place,,Elsah,IL,62028,,38.95575,-90.34752,637,Midwest,Illinois
Providence College,"1 Cunningham Square Providence, RI 02918",1 Cunningham Square,,Providence,RI,02918,,41.84423,-71.43931,552,Northeast,Rhode Island
Purdue University,"610 Purdue Mall West Lafayette, IN 47907",610 Purdue Mall,,West Lafayette,IN,47907,,40.42874,-86.913158,175,Midwest,Indiana
Purdue University Northwest,"2200 169th Street Hammond, IN 46323",2200 169th Street,,Hammond,IN,46323,,41.58766,-87.47543,639,Midwest,Indiana
Queens University of Charlotte,"1900 Selwyn Ave Charlotte, NC 28207",1900 Selwyn Ave,,Charlotte,NC,28207,,35.18885,-80.8333,527,South,North Carolina
Quinnipiac University,"275 Mount Carmel Avenue Hamden, CT 06518",275 Mount Carmel Avenue,,Hamden,CT,06518,,41.42016,-72.89406,481,Northeast,Connecticut
Ramapo College,"505 Ramapo Valley Rd Majwah, NJ 7430",505 Ramapo Valley Rd,,Majwah,NJ,7430,,41.08276,-74.17796,453,Northeast,New Jersey
Ramapo College of New Jersey,"505 Ramapo Valley Rd Mahwah, NJ 07430",505 Ramapo Valley Rd,,Mahwah,NJ,07430,,41.08276,-74.17796,640,Northeast,New Jersey
Reed College,"3203 SE Woodstock Blvd Portland, OR 97202",3203 SE Woodstock Blvd,,Portland,OR,97202,,45.47933,-122.63041,176,West,Oregon
Regis University,"3333 Regis Blvd Denver, CO 80221",3333 Regis Blvd,,Denver,CO,80221,,39.78979,-105.03117,526,West,Colorado
